state,stateFips,county,countyFips,countyStatus,startedAt,completedAt,institutionsIdentified,institutionsSearched,candidatesFound,acceptedCandidates,manualReviewCandidates,rejectedCandidates,duplicateCandidates,notFoundCount,notes
MI,26,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
WI,55,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
MN,27,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
IA,19,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
MO,29,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
AR,05,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
LA,22,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
TX,48,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
OK,40,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
KS,20,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
NE,31,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
SD,46,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
ND,38,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
MT,30,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
WY,56,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
CO,08,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
NM,35,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
AZ,04,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
UT,49,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
NV,32,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
ID,16,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
WA,53,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
OR,41,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
CA,06,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
AK,02,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
HI,15,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
