source_row_id,institution_name,city,state,source_file,prior_review_status,sourceProofScore,yield_tier,yield_class,accepts_lcme,accepts_intl,accepts_carib,accepts_img,audience_exclusion_evidence,application_method,duration,cost,visa_language,source_url,archive_url,screenshot_path,evidence_status,prior_notes,raw_source_row_reference
promo3-11-PA-hospital-of-the-university-of-pennsylvania,Hospital of the University of Pennsylvania,Philadelphia,PA,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,NO,NO,NO,Applications for both clinical and research experiences are restricted to students from the international medical schools that have affiliation agreements with the School of Medicine,AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://www.med.upenn.edu/student/application-and-dates.html,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,"Penn Perelman / HUP — Visiting Clerkship and Mentorship Program (sub-I + electives + residency mentor + STIPENDS) via VSLO covering HUP/CHOP/Penn Presby/PAH. US LCME 4th-year + DO. **International restricted to affiliation-agreement schools (whitelist), max 2 consecutive electives.** Deadline April ",T7 source_capture rank=11 subqueue= sourceQueue=Q1
promo3-12-NY-nyu-langone-health--tisch-hospital,NYU Langone Health - Tisch Hospital,New York,NY,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,NO,NO,NO,NYU is unable to accept requests for elective rotations from students enrolled at international medical schools,AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://med.nyu.edu/education/md-degree/registration-student-records/information-visiting-md-students,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,"NYU Grossman / Tisch — VSLO with explicit Sub-Internships (Advanced Medicine, General Surgery, Plastic Surgery, Advanced EM). US LCME final-year + COCA-AACOM DO. **Strong negative-evidence: international + non-LCME excluded** (verbatim). yieldClass=HIGH_USCE_YIELD for US/DO; NO for IMG.",T7 source_capture rank=12 subqueue= sourceQueue=Q1
promo3-13-FL-mayo-clinic-hospital--jacksonville,Mayo Clinic Hospital - Jacksonville,Duval,FL,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,PARTIAL,PARTIAL,PARTIAL,"Mayo Clinic's campus in Jacksonville, Florida, is only able to accept international medical students from institutions that are licensed by the Florida Commission for Independent Education.",AAMC_VSLO,VARIES,MALPRACTICE_PROVIDED_FREE_BY_MAYO,NOT_MENTIONED,https://college.mayo.edu/academics/visiting-medical-student-clerkships/,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,HIGH_USCE_YIELD: Mayo Clinic Hospital - Jacksonville via Mayo Clinic CMS. VSLO host. Final-year + USMLE/COMLEX Step 1/Level 1/NBDE pass + 48 weeks clinical experience required. STRONG NEG international students from non-FL-CIE-licensed institutions (Jacksonville campus). $350 non-refundable applicat,T7 source_capture rank=13 subqueue= sourceQueue=Q1
promo3-14-AZ-mayo-clinic-hospital--phoenix,Mayo Clinic Hospital - Phoenix,Maricopa,AZ,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,YES,YES,YES,,AAMC_VSLO,VARIES,MALPRACTICE_PROVIDED_FREE_BY_MAYO,NOT_MENTIONED,https://college.mayo.edu/academics/visiting-medical-student-clerkships/,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,HIGH_USCE_YIELD: Mayo Clinic Hospital - Phoenix via Mayo Clinic CMS. VSLO host. Final-year + USMLE/COMLEX Step 1/Level 1/NBDE pass + 48 weeks clinical experience required. International students from ALL international medical schools accepted (Phoenix/Rochester campus pattern). $350 non-refundable a,T7 source_capture rank=14 subqueue= sourceQueue=Q1
promo3-15-DE-christianacare--christiana-hospital,ChristianaCare - Christiana Hospital,New_Castle,DE,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,NOT_MENTIONED,NOT_MENTIONED,NOT_MENTIONED,,AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://christianacare.org/us/en/for-health-professionals/undergraduate-medical-education,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,HIGH_USCE_YIELD: Christiana Hospital is ChristianaCare flagship + Sidney Kimmel Medical College + PCOM clinical campus. M3/M4 LCME or AOA. VSLO via Sidney Kimmel/Jefferson upstream. 750+ rotations/year. International audience matrix not addressed on public pages.,T7 source_capture rank=49 subqueue= sourceQueue=Q1
promo3-16-NY-westchester-medical-center,Westchester Medical Center,Westchester,NY,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,PARTIAL,PARTIAL,PARTIAL,Opportunities for international students attending medical schools outside the United States and Canada to complete clinical electives at NYMC-affiliated clinical sites are extremely limited.,AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://www.nymc.edu/som/admissions--aid/visiting-medical-students/,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,HIGH_USCE_YIELD: WMC via NYMC. VSLO host. M3/M4 LCME or AOA from US/Canada. Up to 8 weeks/year. STRONG NEG international students outside US/Canada (extremely limited). Maria Fareri Children's also on campus. WMC OHC provides free urine toxicology.,T7 source_capture rank=50 subqueue= sourceQueue=Q1
promo3-17-TX-methodist-hospital,Methodist Hospital,Bexar,TX,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,NO,NO,NO,The Long School of Medicine is currently not accepting students from Non-Accredited or International Medical Schools.,AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://hcahealthcaregme.com/locations/methodist-hospital/,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,"HIGH_USCE_YIELD: Methodist Hospital San Antonio (Methodist Healthcare + HCA GME). UT Health Long SOM VSLO route for LCME/COCA US students with USMLE Step 1 or COMLEX Level 1. STRONG NEG non-accredited or international medical schools (Long SOM-specific, applies to UTHSCSA visiting MS pathway). Metho",T7 source_capture rank=55 subqueue= sourceQueue=Q1
promo3-18-NJ-newark-beth-israel-medical-center,Newark Beth Israel Medical Center,Essex,NJ,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,NOT_MENTIONED,NOT_MENTIONED,YES_POST_MATCH,,VARIES_BY_DEPARTMENT,4_WEEK_BLOCKS,STIPEND_1000_USD_FOR_SELECTED,NOT_MENTIONED,https://www.rwjbh.org/for-health-care-professionals/medical-education/newark-beth-israel-medical-center/,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,"HIGH_USCE_YIELD: Newark Beth Israel via RWJBH. EM Sub-I + Pediatric EM + EM Ultrasound + EMS electives. M4 allopathic/osteopathic. NOT VSLO; direct app to Yashonda.Thomas@rwjbh.org. 12 shifts in 4-week. $1,000 stipend for selected students. IM residency post-Match IMG-friendly.",T7 source_capture rank=56 subqueue= sourceQueue=Q1
promo3-19-FL-hca-florida-aventura-hospital,HCA Florida Aventura Hospital,Miami-Dade,FL,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,YES,YES,YES,,PAPER_DIRECT,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://hcahealthcaregme.com/locations/hca-florida-aventura-hospital/,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,HIGH_USCE_YIELD: HCA FL Aventura via HCA Healthcare GME. NOT VSLO; HCA medical student rotations system. IM/EM/Podiatry residencies. Listed as FIU IMG Program clinical site (international students access via FIU IMG Program upstream).,T7 source_capture rank=57 subqueue= sourceQueue=Q1
promo3-20-NJ-saint-barnabas-medical-center,Saint Barnabas Medical Center,Essex,NJ,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,PARTIAL,PARTIAL,PARTIAL,,VARIES_BY_DEPARTMENT,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://www.rwjbh.org/for-health-care-professionals/medical-education/cooperman-barnabas-medical-center/,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,HIGH_USCE_YIELD: Cooperman Barnabas (renamed Saint Barnabas) via RWJBH. Multi-school consortium: Rutgers NJMS + Saint George's University (Caribbean) + NYIT NYCOM. M3/M4 general medicine + sub-specialty electives. IM/FM/General Surg residencies. Caribbean-friendly via SGU consortium membership.,T7 source_capture rank=58 subqueue= sourceQueue=Q1
promo3-21-NY-bronxcare-health-system,BronxCare Health System,Bronx,NY,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,PARTIAL,PARTIAL,YES_POST_MATCH,,VARIES_BY_DEPARTMENT,VARIES,NOT_MENTIONED,J1_H1B,https://www.bronxcare.org/our-services/family-medicine/family-medicine-residency-program/electives,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,"HIGH_USCE_YIELD: BronxCare via Icahn SOM at Mount Sinai. Multi-specialty electives (Anes/Behavioral/Derm/Endo/GI/Geri). IMG-friendly residency host (TY + others, J-1 visa sponsorship for matched residents). Visiting MS likely Icahn-routed (Mt Sinai Icahn International Visiting Student Application pa",T7 source_capture rank=59 subqueue= sourceQueue=Q1
promo3-22-NJ-englewood-health,Englewood Health,Bergen,NJ,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,NOT_MENTIONED,NOT_MENTIONED,YES_POST_MATCH,,VARIES_BY_DEPARTMENT,VARIES,NOT_MENTIONED,J1_H1B,https://www.englewoodhealth.org/healthcare-professionals/residency-and-fellowship-programs,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,HIGH_USCE_YIELD: Englewood Health via HMH/HMSOM. M3 IM students from HMSOM + Rowan SOM; M4 sub-I from Columbia Vagelos. IMG-friendly residency (IM with J-1 sponsorship). Visiting MS access for non-affiliated schools not separately advertised — routed via HMSOM/Rowan/Columbia.,T7 source_capture rank=60 subqueue= sourceQueue=Q1
promo3-23-VA-carilion-clinic,Carilion Clinic,Roanoke,VA,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1A_PUBLIC_USCE_SIGNAL,HIGH_USCE_YIELD,YES,NOT_MENTIONED,NOT_MENTIONED,NOT_MENTIONED,Incomplete or late applications will not be processed.,AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://www.carilionclinic.org/visiting-medical-students,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,HIGH_USCE_YIELD: Carilion Roanoke Memorial Hospital VSLO host (VTCSOM primary teaching hospital). All rotations via VSLO except SICU and Sports Medicine (paper application). Max 8 weeks. Three semester deadlines (Jun 15 / Nov 15 / Mar 15). International audience matrix not addressed on public pages.,T7 source_capture rank=8 subqueue= sourceQueue=Q2
promo3-24-GA-grady-memorial-hospital,Grady Memorial Hospital,Fulton,GA,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1A_PUBLIC_USCE_SIGNAL,HIGH_USCE_YIELD,YES,PARTIAL,PARTIAL,PARTIAL,"Emory accepts applications from April 15, 2026 to May 15, 2026 from affiliated schools only.",AAMC_VSLO_VIA_AFFILIATE,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://med.emory.edu/clinical-experience/where-we-work/emory-at-grady/education.html,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,"HIGH_USCE_YIELD: Grady Memorial via Emory SOM + Morehouse SOM dual-affiliate. Emory visiting MS Apr 15-May 15 2026 affiliated schools only. International route via separate Emory International Visiting Student Application (qualified intl med schools, quarterly windows). $100 app + $260 registration.",T7 source_capture rank=11 subqueue= sourceQueue=Q2
promo3-25-IN-indiana-university-health-methodist-hospital,Indiana University Health Methodist Hospital,Marion,IN,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1A_PUBLIC_USCE_SIGNAL,HIGH_USCE_YIELD,YES,NO,NO,NO,Medical students from qualifying schools in the United States and Puerto Rico are eligible.,AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://medicine.iu.edu/md/admissions/guest-students,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,HIGH_USCE_YIELD: IU Health Methodist Hospital via IU SOM Guest Students program. VSLO host. US/PR MD/DO with USMLE Step 1 or COMLEX Level 1 board score required. $60 app fee. Level I Trauma + EM + Ortho teaching hospital. STRONG NEG non-US/PR international medical schools (program scoped to US/PR on,T7 source_capture rank=14 subqueue= sourceQueue=Q2
