seedId,institutionId,institutionName,parentSystem,campus,city,state,sourceUrl,sourceDomain,expectedAudience,expectedOpportunityType,expectedSpecialty,expectedCampus,expectedDirectLink,knownGoodReason,priorEvidenceRef,notes,runStatus,finalStatus
live_111,inst_live_lincoln_medical_center,Lincoln Medical Center,,,Bronx,NY,https://www.nychealthandhospitals.org/lincoln/,www.nychealthandhospitals.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Emergency Medicine, Surgery, Psychiatry, ",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_112,inst_live_harlem_hospital_center,Harlem Hospital Center,,,New York,NY,https://www.nychealthandhospitals.org/harlem/,www.nychealthandhospitals.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Psychiatry, OB/GYN",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_113,inst_live_kings_county_hospital_center,Kings County Hospital Center,,,Brooklyn,NY,https://www.nychealthandhospitals.org/kingscounty/,www.nychealthandhospitals.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Psychiatry, Emergency Medicine",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_114,inst_live_coney_island_hospital,Coney Island Hospital,,,Brooklyn,NY,https://www.nychealthandhospitals.org/coneyisland/,www.nychealthandhospitals.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Pediatrics, Family Medicine",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_115,inst_live_metropolitan_hospital_center,Metropolitan Hospital Center,,,New York,NY,https://www.nychealthandhospitals.org/metropolitan/,www.nychealthandhospitals.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Pediatrics, OB/GYN",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_116,inst_live_flushing_hospital_medical_center,Flushing Hospital Medical Center,,,Queens,NY,https://www.flushinghospital.org/graduate-medical-education,www.flushinghospital.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Pediatrics, OB/GYN",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_117,inst_live_jamaica_hospital_medical_center,Jamaica Hospital Medical Center,,,Queens,NY,https://jamaicahospital.org/graduate-medical-education/,jamaicahospital.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Emergency Medicine, Surgery, Psychiatry",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_118,inst_live_wyckoff_heights_medical_center,Wyckoff Heights Medical Center,,,Brooklyn,NY,https://www.wyckoffhospital.org/,www.wyckoffhospital.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Pediatrics",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_119,inst_live_bronxcare_health_system,BronxCare Health System,,,Bronx,NY,https://www.bronxcare.org/our-services/psychiatry/residency-program/volunteer-and-observership-opportunities,www.bronxcare.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Family Medicine, Surgery, Psychiatry, Ped",,true,"verified-links.ts (verified=true): Psychiatry-focused observership. 8-12 weeks, min 3 days/week. Application fee required. Covers Adult",usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_120,inst_live_st_barnabas_hospital,St. Barnabas Hospital,,,Bronx,NY,https://www.sbhny.org/,www.sbhny.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Family Medicine, Emergency Medic",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_121,inst_live_brookdale_university_hospital,Brookdale University Hospital,,,Brooklyn,NY,https://www.brookdalehospital.org/gme,www.brookdalehospital.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Pediatrics, Emergency Medicine",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_122,inst_live_northwell_health_system,Northwell Health System,,,Multiple locations,NY,https://international.northwell.edu/consulting-advisory-services,international.northwell.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Cardiology, Neurology, Oncology",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_123,inst_live_suny_downstate_medical_center,SUNY Downstate Medical Center,,,Brooklyn,NY,https://www.downstate.edu/education-training/graduate-medical-education/index.html,www.downstate.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Pediatrics, OB/GYN, Psychiatry",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_124,inst_live_stony_brook_university_hospital,Stony Brook University Hospital,,,Stony Brook,NY,https://renaissance.stonybrookmedicine.edu/gme,renaissance.stonybrookmedicine.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Neurology, Oncology",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_125,inst_live_stanford_health_care,Stanford Health Care,,,Stanford,CA,https://med.stanford.edu/shctv/education/observership.html,med.stanford.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,Multiple departments,,true,verified-links.ts (verified=true): Visiting Observer Program. Max 30 days in 12 months. Requires faculty host. Processing ~8 weeks. No ,usmle-observerships/data.js + prisma/verified-links.ts,"fee: paid | duration: 2-4 weeks | visa: B1/B2 | cost: $1,500 for practicing physicians (some departments); varies by department",PENDING,PENDING
live_126,inst_live_ucla_medical_center,UCLA Medical Center,,,Los Angeles,CA,https://www.uclahealth.org/international-services/medical-education-training/physicians/physician-observerships,www.uclahealth.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,Multiple departments,,true,verified-links.ts (verified=true): International Physician Observership. 1-3 months. $750 fee. Certificate of Participation. Requires B,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 1-3 months | visa: B1/B2 (UCLA cannot assist with visas) | cost: $750,PENDING,PENDING
live_127,inst_live_ucsf_medical_center,UCSF Medical Center,,,San Francisco,CA,https://meded.ucsf.edu/,meded.ucsf.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Pediatrics, Surgery, Neurology",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_128,inst_live_cedars_sinai_medical_center,Cedars-Sinai Medical Center,,,Los Angeles,CA,https://www.cedars-sinai.org/,www.cedars-sinai.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Cardiology, GI, Surgery, Orthopedics",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_129,inst_live_usc_keck_medical_center,USC Keck Medical Center,,,Los Angeles,CA,https://sites.usc.edu/healthcare-edu/observership/,sites.usc.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Oncology, Urology, Ophthalmology",,true,verified-links.ts (verified=true): International Physician Observership. Requires foreign medical license and employment by foreign hea,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2 | cost: $300 application fee + tuition based on resources,PENDING,PENDING
live_130,inst_live_uc_davis_medical_center,UC Davis Medical Center,,,Sacramento,CA,https://health.ucdavis.edu/gme/,health.ucdavis.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Emergency Medicine, Pediatrics",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_131,inst_live_uc_irvine_medical_center,UC Irvine Medical Center,,,Orange,CA,https://www.ucihealth.org/,www.ucihealth.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Neurology, Dermatology",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_132,inst_live_loma_linda_university_medical_center,Loma Linda University Medical Center,,,Loma Linda,CA,https://lluh.org/,lluh.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Cardiothoracic Surgery, Pediatrics, Neurosurgery, Transplant",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_133,inst_live_massachusetts_general_hospital,Massachusetts General Hospital,,,Boston,MA,https://www.massgeneral.org/education,www.massgeneral.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,All major specialties,,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,"fee: paid | duration: 2-4 weeks | visa: B1/B2, J1",PENDING,PENDING
live_134,inst_live_brigham_and_women_s_hospital,Brigham and Women's Hospital,,,Boston,MA,https://www.brighamandwomens.org/radiology/education-and-training/observerships,www.brighamandwomens.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, OB/GYN, Rheumatology",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,"fee: paid | duration: 2-4 weeks | visa: B1/B2 | cost: Radiology: CME fee. EM/Critical Care: $5,000/month",PENDING,PENDING
live_135,inst_live_beth_israel_deaconess_medical_center,Beth Israel Deaconess Medical Center,,,Boston,MA,https://www.bidmc.org/medical-education/graduate-medical-education,www.bidmc.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Gastroenterology, Cardiology, Surgery",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_136,inst_live_boston_medical_center,Boston Medical Center,,,Boston,MA,https://www.bmc.org/,www.bmc.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Family Medicine, Emergency Medicine, Pedi",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 4-8 weeks | visa: B1/B2,PENDING,PENDING
live_137,inst_live_tufts_medical_center,Tufts Medical Center,,,Boston,MA,https://www.tuftsmedicalcenter.org/graduate-medical-education,www.tuftsmedicalcenter.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Cardiology, Pulmonology, Nephrology",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_138,inst_live_university_of_chicago_medicine,University of Chicago Medicine,,,Chicago,IL,https://www.uchicagomedicine.org/international/international-collaboration/education-and-training,www.uchicagomedicine.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Oncology, Cardiology",,true,verified-links.ts (verified=true): Global Education & Training for international physicians. Requires faculty sponsor. Max 30 days. No ,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_139,inst_live_northwestern_memorial_hospital,Northwestern Memorial Hospital,,,Chicago,IL,https://www.nm.org/,www.nm.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Cardiology, Surgery",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_140,inst_live_cook_county_hospital_stroger_,Cook County Hospital (Stroger),,,Chicago,IL,https://cookcountyhealth.org/,cookcountyhealth.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Emergency Medicine, Surgery",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: N/A | visa: N/A,PENDING,PENDING
live_141,inst_live_rush_university_medical_center,Rush University Medical Center,,,Chicago,IL,https://www.rushu.rush.edu/,www.rushu.rush.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Neurology, Orthopedics, Surgery",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_142,inst_live_university_of_illinois_at_chicago_uic_,University of Illinois at Chicago (UIC),,,Chicago,IL,https://medicine.uic.edu/education/international-education/observership-program/,medicine.uic.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Psychiatry, Pediatrics",,true,verified-links.ts (verified=true): LIMITED: Only for full-time medical students with prior professional relationship with UIC COM facul,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_143,inst_live_advocate_christ_medical_center,Advocate Christ Medical Center,,,Oak Lawn,IL,https://www.advocatehealth.com/,www.advocatehealth.com,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Cardiology, Emergency Medicine, Surgery",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_144,inst_live_loyola_university_medical_center,Loyola University Medical Center,,,Maywood,IL,https://ssom.luc.edu/gme/,ssom.luc.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Oncology, Transplant",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_145,inst_live_cleveland_clinic,Cleveland Clinic,,,Cleveland,OH,https://my.clevelandclinic.org/departments/international-medical-education/international-programs/physician-observer,my.clevelandclinic.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,Multiple departments,,true,verified-links.ts (verified=true): WARNING: NOT for IMGs seeking US residency — applications from residency-seeking IMGs will not be co,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 1 month | visa: B1/B2 | cost: $500 ($200 non-refundable + $300 balance),PENDING,PENDING
live_146,inst_live_university_hospitals_cleveland,University Hospitals Cleveland,,,Cleveland,OH,https://www.uhhospitals.org/medical-education/graduate-medical-education,www.uhhospitals.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Pediatrics, Radiology",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_147,inst_live_ohio_state_university_wexner_medical_center,Ohio State University Wexner Medical Center,,,Columbus,OH,https://medicine.osu.edu/departments/office-of-global-health/international-visiting-scholars,medicine.osu.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Oncology, Cardiology",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_148,inst_live_university_of_cincinnati_medical_center,University of Cincinnati Medical Center,,,Cincinnati,OH,https://med.uc.edu/gme,med.uc.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Emergency Medicine, Neurosurgery",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_149,inst_live_johns_hopkins_hospital,Johns Hopkins Hospital,,,Baltimore,MD,https://www.hopkinsmedicine.org/volunteer-services/observerships,www.hopkinsmedicine.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,Department-specific — depends on sponsoring physician,,true,verified-links.ts (verified=true): Max 100 hours over 12 months. Cannot provide visa documentation.,usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: Max 100 hours over 12 months | visa: B1/B2 | cost: Free — must find own JHM physician sponsor,PENDING,PENDING
live_150,inst_live_university_of_maryland_medical_center,University of Maryland Medical Center,,,Baltimore,MD,https://www.umm.edu/,www.umm.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Shock Trauma, Emergency Medicine",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_151,inst_live_medstar_georgetown_university_hospital,MedStar Georgetown University Hospital,,,Washington,DC,https://www.medstarhealth.org/education,www.medstarhealth.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Oncology, Transplant",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_152,inst_live_george_washington_university_hospital,George Washington University Hospital,,,Washington,DC,https://imp.smhs.gwu.edu/observer-training-program-not-accepting-applications,imp.smhs.gwu.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Emergency Medicine",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_153,inst_live_mayo_clinic,Mayo Clinic,,,Rochester,MN,https://college.mayo.edu/academics/visiting-medical-student-clerkships/,college.mayo.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,All major specialties,,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: 2-4 weeks | visa: B1/B2 | cost: $350 non-refundable application fee (for clerkships),PENDING,PENDING
live_154,inst_live_university_of_minnesota_medical_center,University of Minnesota Medical Center,,,Minneapolis,MN,https://med.umn.edu/gme,med.umn.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Transplant, Pediatrics",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_155,inst_live_houston_methodist_hospital,Houston Methodist Hospital,,,Houston,TX,https://www.houstonmethodist.org/for-health-professionals/global-health-care-services/global-health-care-education/observerships/,www.houstonmethodist.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Cardiovascular Surgery, Transplant, Neurology, Oncology",,true,verified-links.ts (verified=true): 2-4 weeks. Must be initiated by a Houston Methodist physician. Certificate of completion. No direct ,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2 | cost: Contact program,PENDING,PENDING
live_156,inst_live_baylor_college_of_medicine,Baylor College of Medicine,,,Houston,TX,https://www.bcm.edu/,www.bcm.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Pediatrics, Neurology",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_157,inst_live_ut_southwestern_medical_center,UT Southwestern Medical Center,,,Dallas,TX,https://www.utsouthwestern.edu/education/graduate-medical-education/,www.utsouthwestern.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Neurology, Radiology, Oncology",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_158,inst_live_md_anderson_cancer_center,MD Anderson Cancer Center,,,Houston,TX,https://www.mdanderson.org/education-training/outreach-programs/observer-programs/other-observership-opportunities-at-md-anderson.html,www.mdanderson.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Oncology (all subspecialties), Radiation Oncology, Surgical ",,true,"verified-links.ts (verified=true): Observer Programs page — clinical observership, NOT postdoc research.",usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_159,inst_live_memorial_hermann_hospital_uthealth,Memorial Hermann Hospital / UTHealth,,,Houston,TX,https://med.uth.edu/gme/,med.uth.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Neurosurgery, Emergency Medicine",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_160,inst_live_ut_health_san_antonio,UT Health San Antonio,,,San Antonio,TX,https://www.uthscsa.edu/,www.uthscsa.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Family Medicine, Psychiatry",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_161,inst_live_jackson_memorial_hospital_umiami_,Jackson Memorial Hospital (UMiami),,,Miami,FL,https://med.miami.edu/centers-and-institutes/international-medicine-institute/education-and-training/global-observership,med.miami.edu,IMG_GRADUATE_OBSERVER,OTHER_USCE,"Internal Medicine, Surgery, Emergency Medicine, Trauma",,true,verified-links.ts (verified=true): Global Observership via International Medicine Institute. 1-3 month rotations. 850+ participants sin,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 4-8 weeks | visa: J1,PENDING,PENDING
live_162,inst_live_cleveland_clinic_florida,Cleveland Clinic Florida,,,Weston,FL,https://my.clevelandclinic.org/florida/medical-professionals/education/observerships,my.clevelandclinic.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Cardiology, Urology, Neurology, Surgery",,true,verified-links.ts (verified=true),usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_163,inst_live_mayo_clinic_jacksonville,Mayo Clinic Jacksonville,,,Jacksonville,FL,https://college.mayo.edu/academics/visiting-medical-student-clerkships/,college.mayo.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Transplant, Hepatology, Oncology, Neurology",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
