seedId,institutionId,institutionName,parentSystem,campus,city,state,sourceUrl,sourceDomain,expectedAudience,expectedOpportunityType,expectedSpecialty,expectedCampus,expectedDirectLink,knownGoodReason,priorEvidenceRef,notes,runStatus,finalStatus
reorient_011,inst_live_emory_postdoc,Emory University — Postdoctoral Research,Emory University,,Atlanta,GA,https://med.emory.edu/education/postdoctoral-training/index.html,med.emory.edu,IMG_GRADUATE_OBSERVER,OTHER_USCE,,Emory University School of Medicine,true,Replacement for dead postdocs.emory.edu (subdomain retired) — moved under med.emory.edu,2026-05-16 WebSearch,Emory SOM Postdoctoral Training,PENDING,PENDING
reorient_012,inst_live_bidmc,Beth Israel Deaconess Medical Center,Mass General Brigham,,Boston,MA,https://bidmc.org/education-training/medical-education,bidmc.org,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Beth Israel Deaconess Medical Center,true,Replacement for generic /medical-education/graduate-medical-education — VSLO-affiliated VMS program,2026-05-16 WebSearch,Harvard-affiliated visiting student program,PENDING,PENDING
reorient_013,inst_live_mgh_intl,Massachusetts General Hospital — International Observership,Mass General Brigham,,Boston,MA,https://www.massgeneral.org/education/international-observership,massgeneral.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,,Massachusetts General Hospital,true,New IMG row for MGH international observership,2026-05-16 WebSearch,For practicing clinicians with MD/PhD/MBBS,PENDING,PENDING
reorient_014,inst_live_henry_ford,Henry Ford Hospital,Henry Ford Health,,Detroit,MI,https://www.henryford.com/hcp/med-ed/ugme/students/visiting-students,henryford.com,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Henry Ford Hospital,true,Replacement for henryford.com homepage — UGME visiting students path,2026-05-16 WebSearch,VSLO-based VMS at Henry Ford,PENDING,PENDING
reorient_015,inst_live_hackensack,Hackensack University Medical Center,Hackensack Meridian Health,,Hackensack,NJ,https://www.hackensackmeridianhealth.org/en/healthcare-professionals/humc/internal-medicine-residency/elective-rotations,hackensackmeridianhealth.org,US_MD_DO_VISITING_STUDENT,CLINICAL_ELECTIVE,Internal Medicine,Hackensack University Medical Center,true,Replacement for hackensackmeridianhealth.org/ — IM elective rotations page,2026-05-16 WebSearch,Department-specific IM electives,PENDING,PENDING
reorient_016,inst_live_northwestern_vms,Northwestern Memorial Hospital,Northwestern Medicine,,Chicago,IL,https://www.feinberg.northwestern.edu/md-education/visiting-students/index.html,feinberg.northwestern.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Northwestern Memorial Hospital,true,Feinberg SOM visiting students page (real path; my earlier guess was wrong),2026-05-16 WebSearch,LCME/AOA fourth-year students,PENDING,PENDING
reorient_017,inst_live_northwestern_intl,Northwestern Memorial Hospital — International,Northwestern Medicine,,Chicago,IL,https://www.feinberg.northwestern.edu/md-education/visiting-students/international-visiting-students.html,feinberg.northwestern.edu,INTERNATIONAL_MEDICAL_STUDENT,INTERNATIONAL_VISITING_STUDENT,,Northwestern Memorial Hospital,true,New INTL row for Northwestern,2026-05-16 WebSearch,Global Partner students only,PENDING,PENDING
reorient_018,inst_live_dmc_vms,Wayne State University / Detroit Medical Center,DMC / Wayne State,,Detroit,MI,https://www.dmc.org/health-professionals/gme-at-dmc/dmc-clinical-campus/elective-visiting-students,dmc.org,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Detroit Medical Center,true,DMC Clinical Campus visiting students page,2026-05-16 WebSearch,DMC has program even though WSU SOM does not,PENDING,PENDING
reorient_019,inst_live_yale_vms,Yale-New Haven Hospital,Yale-New Haven Health,,New Haven,CT,https://medicine.yale.edu/md-program/visiting-students/,medicine.yale.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Yale-New Haven Hospital,true,Yale SOM visiting students page — VSLO,2026-05-16 WebSearch,Four-week rotations only,PENDING,PENDING
reorient_020,inst_live_yale_intl,Yale-New Haven Hospital — International,Yale-New Haven Health,,New Haven,CT,https://medicine.yale.edu/md-program/visiting-students/international/,medicine.yale.edu,INTERNATIONAL_MEDICAL_STUDENT,INTERNATIONAL_VISITING_STUDENT,,Yale-New Haven Hospital,true,New INTL row for Yale — elective program for international students,2026-05-16 WebSearch,International visiting students,PENDING,PENDING
reorient_021,inst_live_stanford_vms,Stanford Health Care,Stanford Medicine,,Stanford,CA,https://med.stanford.edu/visiting-clerkships/visitingclerkships.html,med.stanford.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Stanford Health Care,true,Stanford visiting clerkships canonical page,2026-05-16 WebSearch,,PENDING,PENDING
reorient_022,inst_live_stanford_intl,Stanford Health Care — International,Stanford Medicine,,Stanford,CA,https://med.stanford.edu/visiting-clerkships/international.html,med.stanford.edu,INTERNATIONAL_MEDICAL_STUDENT,INTERNATIONAL_VISITING_STUDENT,,Stanford Health Care,true,New INTL row for Stanford IVS program,2026-05-16 WebSearch,2-week or 4-week up to 8-week,PENDING,PENDING
reorient_023,inst_live_baylor_vms,Baylor College of Medicine,Baylor College of Medicine,,Houston,TX,https://www.bcm.edu/education/school-of-medicine/m-d-program/curriculum/elective-program/visiting-medical-student,bcm.edu,BOTH_STUDENT_AND_IMG_GRADUATE,VISITING_MEDICAL_STUDENT_ELECTIVE,,Baylor College of Medicine,true,Replacement for bcm.edu homepage — explicit visiting-medical-student path; accepts both US and international,2026-05-16 WebSearch,VSLO; both US and INTL routes,PENDING,PENDING
reorient_024,inst_live_abington_jefferson,Abington Hospital — Jefferson Health,Jefferson Health,,Abington,PA,https://www.jefferson.edu/registrar/visiting-student-clinical-electives/international-visiting-medical-students.html,jefferson.edu,INTERNATIONAL_MEDICAL_STUDENT,INTERNATIONAL_VISITING_STUDENT,,Abington Hospital,true,Jefferson registrar international visiting students page,2026-05-16 WebSearch,Jefferson umbrella; includes Abington campus,PENDING,PENDING
reorient_025,inst_live_advocate_christ,Advocate Christ Medical Center,Advocate Health Care,,Oak Lawn,IL,https://www.advocatehealth.com/education/medical-education/medical-students,advocatehealth.com,US_MD_DO_VISITING_STUDENT,CLINICAL_ELECTIVE,,Advocate Christ Medical Center,true,Advocate Health Care medical students page; explicit policy no observerships but offers electives,2026-05-16 WebSearch,M4 + eligible M3; non-affiliated schools eligible,PENDING,PENDING
reorient_026,inst_live_banner_tucson,Banner University Medical Center — Tucson,Banner Health / U of Arizona,,Tucson,AZ,https://medicine.arizona.edu/education/degree-programs/md-program/visiting-medical-students,medicine.arizona.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Banner UMC Tucson,true,U of A SOM Tucson visiting students page; Banner is the affiliate hospital,2026-05-16 WebSearch,4th year LCME/COCA; no international students,PENDING,PENDING
reorient_027,inst_live_baptist_intl,Baptist Health South Florida — International Observerships,Baptist Health South Florida,,Miami,FL,https://baptisthealth.net/international-services/international-healthcare-professionals/international-observerships,baptisthealth.net,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,,Baptist Health South Florida,true,Direct International Observerships page,2026-05-16 WebSearch,Replaces baptisthealth.net/ homepage; for Latin America/Caribbean physicians,PENDING,PENDING
reorient_028,inst_live_baptist_observer,Baptist Health South Florida — Observer Program,Baptist Health South Florida,,Miami,FL,https://baptisthealth.net/academics/student-and-visitor-programs/job-shadowing-and-externships/observer-program,baptisthealth.net,BOTH_STUDENT_AND_IMG_GRADUATE,OBSERVERSHIP,,Baptist Health South Florida,true,Direct Observer Program page (1 day - 4 weeks),2026-05-16 WebSearch,General observer program; non-citizens need International Eligibility Form,PENDING,PENDING
reorient_029,inst_live_beaumont_royal_oak,Beaumont Hospital — Royal Oak (Corewell),Corewell Health,,Royal Oak,MI,https://www.beaumont.edu/medical-student-education/medical-student-rotations-royal-oak,beaumont.edu,US_MD_DO_VISITING_STUDENT,CLINICAL_ELECTIVE,,Corewell Health William Beaumont University Hospital,true,Direct Medical Student Rotations page,2026-05-16 WebSearch,50+ electives for M4 students via VSAS,PENDING,PENDING
reorient_030,inst_live_bmc_svep,Boston Medical Center — Visiting Medical Students,Boston Medical Center,,Boston,MA,https://www.bmc.org/visiting-medical-students-1,bmc.org,BOTH_STUDENT_AND_IMG_GRADUATE,CLINICAL_ELECTIVE,,Boston Medical Center,true,Direct BMC visiting medical students page,2026-05-16 WebSearch,SVEP $2500 subsidy + ISEP for INTL through BU,PENDING,PENDING
reorient_031,inst_live_carolinas_atrium,Carolinas Medical Center — Atrium Health,Atrium Health,,Charlotte,NC,https://atriumhealth.org/education/graduate-medical-education/visiting-medical-students,atriumhealth.org,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Carolinas Medical Center,true,Atrium GME visiting medical students portal,2026-05-16 WebSearch,VSLO; no international/non-LCME accepted,PENDING,PENDING
reorient_032,inst_live_cedars_vms,Cedars-Sinai Medical Center,Cedars-Sinai,,Los Angeles,CA,https://www.cedars-sinai.edu/education/medical-students.html,cedars-sinai.edu,US_MD_DO_VISITING_STUDENT,CLINICAL_ELECTIVE,,Cedars-Sinai Medical Center,true,Cedars-Sinai medical students/visiting electives page,2026-05-16 WebSearch,4-week electives June-December; INTL through UCLA affiliation,PENDING,PENDING
reorient_033,inst_live_cincinnati_childrens_intl,Cincinnati Children's Hospital — International Visitor Program,Cincinnati Children's,,Cincinnati,OH,https://www.cincinnatichildrens.org/professional/resources/international-visitor-program,cincinnatichildrens.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,Pediatrics,Cincinnati Children's Hospital,true,Direct International Visitor Program page (already in data.js — re-verify),2026-05-16 WebSearch,1 week to 3 months; for trained physicians/residents,PENDING,PENDING
reorient_034,inst_live_augusta_mcg,Augusta University Medical Center (MCG),Augusta University,,Augusta,GA,https://www.augusta.edu/mcg/coffice/curriculum/incoming-vslo-students.php,augusta.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Medical College of Georgia,true,MCG VSLO incoming students page,2026-05-16 WebSearch,LCME only; no INTL; max 8 weeks,PENDING,PENDING
reorient_035,inst_live_duke_vms,Duke University Hospital,Duke Health,,Durham,NC,https://medschool.duke.edu/education/health-professions-education-programs/student-services/office-registrar/visiting-students,medschool.duke.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Duke University Hospital,true,Duke SOM visiting students canonical page (replaces /md-education/.../visiting-students 404),2026-05-16 WebSearch,VSLO; INTL only with affiliation agreement,PENDING,PENDING
reorient_036,inst_live_uc_cincinnati,University of Cincinnati Medical Center,UC Health,,Cincinnati,OH,https://med.uc.edu/education/medical-student-education/office-of-medical-education/visiting-students,med.uc.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,University of Cincinnati Medical Center,true,UC SOM visiting students canonical page,2026-05-16 WebSearch,VSLO-based; INTL only via existing exchange agreements,PENDING,PENDING
reorient_037,inst_live_mount_sinai_hospital,Mount Sinai Hospital,Mount Sinai Health System,,New York,NY,https://icahn.mssm.edu/education/students/registrar/electives/visiting-lcme-schools,icahn.mssm.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Mount Sinai Hospital,true,Icahn SOM Mount Sinai visiting LCME schools page,2026-05-16 WebSearch,VSLO; INTL students currently attending international medical schools welcome via separate route,PENDING,PENDING
reorient_038,inst_live_nyp_columbia,NewYork-Presbyterian / Columbia,NewYork-Presbyterian,,New York,NY,https://www.vagelos.columbia.edu/education/academic-programs/md-program/visiting-student-program,vagelos.columbia.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,NYP / Columbia,true,Columbia VP&S Visiting Student Program,2026-05-16 WebSearch,Replaces nyp.org/ homepage; INTL via /international-visiting-students,PENDING,PENDING
reorient_039,inst_live_nyp_columbia_intl,NewYork-Presbyterian / Columbia — International,NewYork-Presbyterian,,New York,NY,https://www.vagelos.columbia.edu/education/academic-programs/md-program/visiting-student-program/international-visiting-students,vagelos.columbia.edu,INTERNATIONAL_MEDICAL_STUDENT,INTERNATIONAL_VISITING_STUDENT,,NYP / Columbia,true,Columbia INTL visiting students page,2026-05-16 WebSearch,OASIS application portal,PENDING,PENDING
reorient_040,inst_live_weill_cornell_vms,NewYork-Presbyterian / Weill Cornell,NewYork-Presbyterian,,New York,NY,https://medicaleducation.weill.cornell.edu/student-resources/visiting-students,medicaleducation.weill.cornell.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Weill Cornell,true,Weill Cornell Visiting Student Electives,2026-05-16 WebSearch,US MD/DO via VSLO,PENDING,PENDING
reorient_041,inst_live_weill_cornell_intl,NewYork-Presbyterian / Weill Cornell — International,NewYork-Presbyterian,,New York,NY,https://international.weill.cornell.edu/visiting-international-students,international.weill.cornell.edu,INTERNATIONAL_MEDICAL_STUDENT,INTERNATIONAL_VISITING_STUDENT,,Weill Cornell,true,WCM Office of International Medical Student Education,2026-05-16 WebSearch,INTL via WCM Global Health Education; no observerships,PENDING,PENDING
reorient_042,inst_live_einstein_vms,Albert Einstein College of Medicine,Montefiore Einstein,,Bronx,NY,https://einsteinmed.edu/education/md-program/registrar/visiting-students,einsteinmed.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Albert Einstein,true,Einstein Office of the Registrar Visiting Students,2026-05-16 WebSearch,Replaces einsteinmed.edu/ homepage; no INTL except exchange,PENDING,PENDING
reorient_043,inst_live_maryland_vms,University of Maryland Medical Center,University of Maryland Medical System,,Baltimore,MD,https://www.medschool.umaryland.edu/osa/visiting-students/,medschool.umaryland.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,University of Maryland Medical Center,true,UMSOM Office of Student Affairs visiting students,2026-05-16 WebSearch,LCME/COCA 4th-year only,PENDING,PENDING
reorient_044,inst_live_gwu_vms,George Washington University Hospital,GW Medical Faculty Associates,,Washington,DC,https://smhs.gwu.edu/academics/md-program/visiting-students,smhs.gwu.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,George Washington University Hospital,true,GW SMHS visiting students canonical page,2026-05-16 WebSearch,VSLO-based,PENDING,PENDING
reorient_045,inst_live_gwu_intl,George Washington University Hospital — ICEP,GW Medical Faculty Associates,,Washington,DC,https://imp.smhs.gwu.edu/international-clinical-electives-program-icep-international-students,imp.smhs.gwu.edu,INTERNATIONAL_MEDICAL_STUDENT,INTERNATIONAL_VISITING_STUDENT,,George Washington University Hospital,true,GWU International Clinical Electives Program for INTL students,2026-05-16 WebSearch,Only via affiliated international schools,PENDING,PENDING
reorient_046,inst_live_iowa_uihc,University of Iowa Hospitals & Clinics,University of Iowa Health Care,,Iowa City,IA,https://md.medicine.uiowa.edu/student-and-program-resources/visiting-students,md.medicine.uiowa.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,University of Iowa Hospitals,true,Carver SOM MD Program visiting students page,2026-05-16 WebSearch,LCME-only 4th year; $75 fee,PENDING,PENDING
reorient_047,inst_live_minnesota_vms,University of Minnesota Medical Center,M Health Fairview,,Minneapolis,MN,https://med.umn.edu/md-students/academics/clinical-experiences/visiting-students,med.umn.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,University of Minnesota Medical Center,true,UMN Medical School visiting students canonical page,2026-05-16 WebSearch,Max 2 electives; INTL only via formal agreement,PENDING,PENDING
reorient_048,inst_live_minnesota_gme_observer,University of Minnesota — GME Observers,M Health Fairview,,Minneapolis,MN,https://med.umn.edu/gme/education/visiting-trainees,med.umn.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,,University of Minnesota,true,GME Visiting Trainees / Observers page for IMG graduates,2026-05-16 WebSearch,Sub-1-month for medical school graduates,PENDING,PENDING
reorient_049,inst_live_hennepin,Hennepin Healthcare — Minneapolis,Hennepin Healthcare,,Minneapolis,MN,https://www.hennepinhealthcare.org/medical-education-training/medical-student-rotations/,hennepinhealthcare.org,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Hennepin Healthcare,true,Replaces homepage; direct Medical Student Rotations page,2026-05-16 WebSearch,2-4 weeks (up to 12); not for INTL students,PENDING,PENDING
reorient_050,inst_live_tampa_usf,Tampa General Hospital / USF Health,USF Health,,Tampa,FL,https://health.usf.edu/medicine/registrar/md-visiting-students,health.usf.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Tampa General Hospital,true,USF MCOM Registrar MD Visiting Students page (replaces /tgh.org/about-tgh/contact-us),2026-05-16 WebSearch,Family Medicine + Acting Internship at TGH,PENDING,PENDING
reorient_051,inst_live_wake_forest_atrium,Wake Forest Baptist / Atrium Health,Atrium Health Wake Forest Baptist,,Winston-Salem,NC,https://school.wakehealth.edu/education-and-training/md-program/visiting-medical-students/,school.wakehealth.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Wake Forest Baptist Medical Center,true,Wake Forest SOM visiting medical students,2026-05-16 WebSearch,LCME/COCA only; INTL very limited,PENDING,PENDING
reorient_052,inst_live_rutgers_njms,University Hospital Newark / Rutgers NJMS,Rutgers Health,,Newark,NJ,https://njms.rutgers.edu/education/registrar/visitingstds.php,njms.rutgers.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,University Hospital Newark,true,Rutgers NJMS visiting students page,2026-05-16 WebSearch,VSLO; multiple departments,PENDING,PENDING
reorient_053,inst_live_rutgers_rwj,Robert Wood Johnson University Hospital / Rutgers RWJMS,Rutgers Health,,New Brunswick,NJ,https://rwjms.rutgers.edu/education/md/visiting-students,rwjms.rutgers.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Robert Wood Johnson University Hospital,true,Rutgers RWJMS visiting students page,2026-05-16 WebSearch,VSLO; LCME/COCA US only,PENDING,PENDING
reorient_054,inst_live_penn_vms,Hospital of the University of Pennsylvania (HUP) / Penn Medicine,Penn Medicine,,Philadelphia,PA,https://www.med.upenn.edu/student/visiting-clerkship-and-mentorship.html,med.upenn.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,HUP / Penn Medicine,true,Penn Visiting Clerkship and Mentorship Program,2026-05-16 WebSearch,Up to 2 consecutive electives,PENDING,PENDING
reorient_055,inst_live_penn_intl,Penn Medicine — International Trainees & Scholars,Penn Medicine,,Philadelphia,PA,https://www.med.upenn.edu/globalhealth/international-trainees-scholars.html,med.upenn.edu,INTERNATIONAL_MEDICAL_STUDENT,INTERNATIONAL_VISITING_STUDENT,,Penn Medicine,true,Penn Center for Global Health INTL trainees,2026-05-16 WebSearch,Affiliation agreement required,PENDING,PENDING
reorient_056,inst_live_ttuhsc_elpaso,Texas Tech Health El Paso,TTUHSC El Paso,,El Paso,TX,https://www.elpaso.ttuhsc.edu/som/studentaffairs/visitingstudents.aspx,elpaso.ttuhsc.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Texas Tech Health El Paso,true,TTUHSC El Paso SOM Student Affairs visiting students,2026-05-16 WebSearch,UMC El Paso teaching affiliate,PENDING,PENDING
reorient_057,inst_live_ttuhsc_observership,Texas Tech HSC — Observership Program,TTUHSC,,Lubbock,TX,https://www.ttuhsc.edu/medicine/internal/observership/observership.aspx,ttuhsc.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,Internal Medicine,Texas Tech Health Sciences Center,true,TTUHSC Internal Medicine observership program,2026-05-16 WebSearch,Background check + fee + onboarding,PENDING,PENDING
reorient_058,inst_live_uh_cleveland,University Hospitals Cleveland Medical Center,University Hospitals,,Cleveland,OH,https://www.uhhospitals.org/medical-education/undergraduate-medical-education/visiting-medical-student-program,uhhospitals.org,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,University Hospitals Cleveland Medical Center,true,UH Cleveland visiting medical student program landing,2026-05-16 WebSearch,VSLO-based; INTL with IFOM-BSE option,PENDING,PENDING
reorient_059,inst_live_ochsner_intl_obs,Ochsner International Observership Program,Ochsner Health,,New Orleans,LA,https://education.ochsner.org/clined/global-is-local/ochsner-international-observership-program/,education.ochsner.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,,Ochsner Health,true,Ochsner direct international observership page,2026-05-16 WebSearch,Faculty sponsor required + financial evidence,PENDING,PENDING
reorient_060,inst_live_ochsner_med_student,Ochsner Health — Medical Student Electives,Ochsner Health,,New Orleans,LA,https://education.ochsner.org/clined/medical-student-electives/,education.ochsner.org,US_MD_DO_VISITING_STUDENT,CLINICAL_ELECTIVE,,Ochsner Health,true,Direct medical student electives page,2026-05-16 WebSearch,New Orleans-based electives,PENDING,PENDING
reorient_061,inst_live_mayo_rochester,Mayo Clinic — Visiting Medical Student Clerkships,Mayo Clinic,,Rochester,MN,https://college.mayo.edu/academics/visiting-medical-student-clerkships/,college.mayo.edu,BOTH_STUDENT_AND_IMG_GRADUATE,VISITING_MEDICAL_STUDENT_ELECTIVE,,Mayo Clinic,true,Mayo VMS Clerkship Program canonical page (replaces mayoclinic.org/education),2026-05-16 WebSearch,~600 students/year; accepts all international medical schools; USMLE Step 1 required for INTL,PENDING,PENDING
reorient_062,inst_live_ucla_vslo,UCLA Ronald Reagan Medical Center — VSLO,UCLA Health,,Los Angeles,CA,https://medschool.ucla.edu/education/md-education/visiting-students,medschool.ucla.edu,US_MD_DO_VISITING_STUDENT,VISITING_MEDICAL_STUDENT_ELECTIVE,,Ronald Reagan UCLA Medical Center,true,UCLA DGSOM visiting students canonical page,2026-05-16 WebSearch,INTL only via reciprocal exchange agreements,PENDING,PENDING
reorient_063,inst_live_keck_intl_obs,USC Keck — International Physician Observership,USC,,Los Angeles,CA,https://sites.usc.edu/healthcare-edu/observership/,sites.usc.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,,Keck Medical Center of USC,true,Keck International Physician Observership program,2026-05-16 WebSearch,For practicing foreign-licensed physicians; faculty sponsor required,PENDING,PENDING
reorient_064,inst_live_chop_intl_obs,Children's Hospital of Philadelphia (CHOP) — International Observership,CHOP,,Philadelphia,PA,https://www.chop.edu/services/international-observership-program,chop.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,Pediatrics,Children's Hospital of Philadelphia,true,CHOP International Observership Program (2-8 weeks; $750 admin fee),2026-05-16 WebSearch,Limited to 4 weeks for international medical students,PENDING,PENDING
reorient_065,inst_live_msk_intl_obs,Memorial Sloan Kettering — International Observership,MSK,,New York,NY,https://www.mskcc.org/hcp-education-training/international/observership,mskcc.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,Oncology,Memorial Sloan Kettering Cancer Center,true,MSK International Observership (NOT for IMGs in US; for foreign-employed physicians only),2026-05-16 WebSearch,30 days max; faculty host required,PENDING,PENDING
