listingId,listingTitle,institution,programType,currentUrl,currentClassification,pagesOpened,searchTermsTried,candidateUrlsFound,rejectedUrls,finalUrl,finalClassification,evidenceQuote,sourcePageTitle,audienceDecision,applicationDecision,costDecision,visaDecision,sourceScopeDecision,countsAsTrueUSCE,countsAsResearch,needsManualBrowser,actionTaken,reason,stopCondition,nextAction,reviewedAt
71,Mount Sinai Beth Israel,Mount Sinai Beth Israel,observership,https://www.mountsinai.org/locations/beth-israel/education/graduate-medical-education,BORDERLINE_KEEP_REVERIFY,icahn.mssm.edu/education/students/registrar/electives/visiting-lcme-schools,Mount Sinai Beth Israel Icahn visiting medical students VSAS,icahn.mssm.edu/education/students/registrar/electives/visiting-lcme-schools,,https://icahn.mssm.edu/education/students/registrar/electives/visiting-lcme-schools,PROTECTED_BROWSER_REQUIRED,"Students in good standing who have not yet received their MD or DO degree are eligible to apply for an elective at the Icahn School of Medicine at Mount Sinai and should be in their final year of medical school.",Visiting Students - Icahn School of Medicine,us-md-do,VSAS,unspecified,INTL via separate visiting-abroad,multi-site (Mt Sinai Hospital + JJP VA + Elmhurst + Beth Israel),TRUE,FALSE,TRUE,verified-links.ts uses canonical Icahn registrar URL; 403 to WebFetch but live in browser,GME-only landing replaced by Icahn registrar visiting-LCME page,protected page classified per Hopkins precedent,none,2026-05-17
72,Jamaica Hospital Medical Center,Jamaica Hospital Medical Center,observership,https://jamaicahospital.org/graduate-medical-education/,BORDERLINE_KEEP_REVERIFY,jamaicahospital.org/graduate-medical-education/,Jamaica Hospital observership IMG medical student elective,jamaicahospital.org/graduate-medical-education/,,https://jamaicahospital.org/graduate-medical-education/,BORDERLINE_KEEP_REVERIFY,no public visiting student or observership pathway documented,Graduate Medical Education - Jamaica Hospital,unknown,unknown,unknown,unknown,institution-specific,FALSE,FALSE,TRUE,verified-links.ts note updated; removed prior 'NOT offered' claim that couldn't be re-verified,absence of page does not equal absence of program,phone outreach (Dept of Medical Education) needed,manual reverify,2026-05-17
73,Wyckoff Heights Medical Center,Wyckoff Heights Medical Center,observership,https://www.wyckoffhospital.org/,BORDERLINE_KEEP_REVERIFY,whmcny.org/undergraduate-education/,Wyckoff Heights Brooklyn observership medical student elective,whmcny.org/undergraduate-education/,,https://whmcny.org/undergraduate-education/,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"All electives are offered for 4 week blocks.",Undergraduate Education - Wyckoff,any-accredited-via-affiliation,direct (EKruck@wyckoffhospital.org),unspecified,IMG-friendly community hospital,institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces homepage with WHMC UGE page,4-wk electives + sub-Is in IM/OBGYN/Peds/Surgery + specialty; NY State Ed Dept approved,direct USCE page confirmed,none,2026-05-17
74,UCSF Medical Center,UCSF Medical Center,observership,https://meded.ucsf.edu/,BORDERLINE_KEEP_REVERIFY,meded.ucsf.edu/visiting-student-program,UCSF visiting medical students elective VSLO,meded.ucsf.edu/visiting-student-program,,https://meded.ucsf.edu/visiting-student-program,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"The UCSF School of Medicine uses the AAMC Visiting Student Learning Opportunities (VSLO) Application Service to receive applications from US medical and osteopathic students.",Visiting Student Program - UCSF Medical Education,us-md-do,VSLO,$300/elective,no INTL pathway,institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces verified:false homepage stub with VSP page,max 12 weeks + VESP $2000 scholarship for disadvantaged,direct USCE page confirmed,none,2026-05-17
75,UC Davis Medical Center,UC Davis Medical Center,observership,https://health.ucdavis.edu/gme/,BORDERLINE_KEEP_REVERIFY,health.ucdavis.edu/mdprogram/registrar/visiting.html,UC Davis visiting medical students M4 elective VSLO,health.ucdavis.edu/mdprogram/registrar/visiting.html,,https://health.ucdavis.edu/mdprogram/registrar/visiting.html,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"UC Davis School of Medicine welcomes eligible fourth year visiting medical students' participation in our fourth-year electives as space permits.",Visiting Students - UC Davis School of Medicine,us-md,VSLO 60-day approval,unspecified,INTL not accepted,institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces GME-only landing with registrar VS page,4-wk M4 electives no cores BLS/ACLS + $1M/$3M malpractice + Step 1 pass,direct USCE page confirmed,none,2026-05-17
76,UC Irvine Medical Center,UC Irvine Medical Center,observership,https://www.ucihealth.org/,BORDERLINE_KEEP_REVERIFY,medschool.uci.edu/education/medical-education/medical-degree-program/curriculum/md-program-electives,UC Irvine visiting medical students M4 elective VSLO,medschool.uci.edu/education/medical-education/medical-degree-program/curriculum/md-program-electives,meded.uci.edu/curricular-affairs/visiting-students.asp (TLS cert alt-name invalid),https://medschool.uci.edu/education/medical-education/medical-degree-program/curriculum/md-program-electives,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"Due to the high volume of requests the extramural application process is done through the Association of American College's AAMC Visiting Student Learning Opportunities (VSLO).",MD Program Electives - UC Irvine SOM,us-md-do,VSLO,$300/course,INTL via UCI exchange agreement only (comextra@hs.uci.edu),institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces homepage with MD program electives page,M3+M4 extramural electives,direct USCE page confirmed,none,2026-05-17
77,University Hospitals Cleveland,University Hospitals Cleveland,observership,https://www.uhhospitals.org/medical-education/graduate-medical-education,BORDERLINE_KEEP_REVERIFY,uhhospitals.org/medical-education/undergraduate-medical-education/visiting-medical-student-program/visiting-medical-student-program-clevel,University Hospitals Cleveland visiting medical students VSLO,uhhospitals.org/medical-education/undergraduate-medical-education/visiting-medical-student-program/visiting-medical-student-program-clevel,,https://www.uhhospitals.org/medical-education/undergraduate-medical-education/visiting-medical-student-program/visiting-medical-student-program-clevel,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"Domestic students who have completed their core clinical training and will be in the fourth year of medical education at their LCME- or AOA- accredited medical schools can apply.",Visiting Medical Student Program - University Hospitals,us-md-do,VSLO,unspecified,Case Western SOM primary affiliate priority,multi-site (UH Rainbow + MacDonald + Seidman),TRUE,FALSE,FALSE,verified-links.ts uses EXACT data.js key; prior 'University Hospitals Cleveland Medical Center' suffix-mismatch key commented out,GME-only landing replaced by VMSP page,direct USCE page confirmed,none,2026-05-17
78,UT Southwestern Medical Center,UT Southwestern Medical Center,observership,https://www.utsouthwestern.edu/education/graduate-medical-education/,BORDERLINE_KEEP_REVERIFY,medschool.utsouthwestern.edu/admissions/visiting/,UT Southwestern visiting medical students VSLO,medschool.utsouthwestern.edu/admissions/visiting/,utsouthwestern.edu/education/medical-school/admissions/visiting/ (301 redirect),https://medschool.utsouthwestern.edu/admissions/visiting/,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"Visiting students may not complete more than two four-week electives at UT Southwestern",Visiting Medical Students - UT Southwestern,us-md-do,VSLO + INTL VMS portal,rotation+malpractice fees,INTL via separate medschool.utsouthwestern.edu/admissions/visiting/international.html,institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces GME-only landing with canonical visiting URL,max 2 four-week electives Castle Branch bg check,direct USCE page confirmed,none,2026-05-17
79,UT Health San Antonio,UT Health San Antonio,observership,https://www.uthscsa.edu/,BORDERLINE_KEEP_REVERIFY,uthscsa.edu/medicine/education/ume/student-affairs/student-wellness/visiting-students,UT Health San Antonio Long SOM visiting students VSLO,uthscsa.edu/medicine/education/ume/student-affairs/student-wellness/visiting-students,,https://uthscsa.edu/medicine/education/ume/student-affairs/student-wellness/visiting-students,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"The Long School of Medicine is currently not accepting students from Non-Accredited or International Medical Schools. Allopathic (LCME) and Osteopathic (COCA) medical schools are eligible to apply.",Visiting Students - Long SOM UT Health SA,us-md-do,VSLO (institution filter: UT HSC San Antonio Long SOM),unspecified,INTL explicitly NOT accepted,institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces homepage with LSOM VS page,4-wk advanced electives 4-wk lead time,direct USCE page confirmed,none,2026-05-17
80,UNC Hospitals,UNC Hospitals,observership,https://www.med.unc.edu/,BORDERLINE_KEEP_REVERIFY,med.unc.edu/md/student-affairs/visiting-students/,UNC Chapel Hill visiting medical students VSAS,med.unc.edu/md/student-affairs/visiting-students/,,https://www.med.unc.edu/md/student-affairs/visiting-students/,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"The University of North Carolina School of Medicine's Visiting Student Program offers domestic students in their final year of medical school the opportunity to participate in educational engaging and challenging clinical elective experiences.",Visiting Students - UNC SOM,us-md,VSLO/VSAS,unspecified,INTL via separate IVS pathway (oghe/visiting-international-students/ivs-application-requirements/),multi-site (Asheville/Chapel Hill/Charlotte/Greensboro/Raleigh/Wilmington),TRUE,FALSE,FALSE,verified-links.ts replaces homepage with VSP page,1 LOR + personal statement; contact visitingstudent@med.unc.edu,direct USCE page confirmed,none,2026-05-17
