p101_5_rank,intended_p101_4_packet_number,original_queue_rank_if_any,state,city,institution_name,official_domain_if_known,duplicate_status,why_selected,source_of_selection,lane_type,expected_canonical_t7_folder,search_status
11,16,85,TX,Houston,Memorial Hermann-Texas Medical Center,memorialhermann.org,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; UTHealth Houston affiliate,p101_4_selected_25_queue.csv rank 16,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/TX/memorial-hermann-texas-medical-center,QUEUED
12,17,86,TX,Dallas,Baylor University Medical Center,bswhealth.com,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; Baylor Scott and White,p101_4_selected_25_queue.csv rank 17,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/TX/baylor-university-medical-center-dallas,QUEUED
13,18,87,TX,Dallas,UT Southwestern Clements University Hospital,utswmed.org,NEW_NO_PRIOR_PACKET,P0_AMC_GAP; UTSW SOM AMC,p101_4_selected_25_queue.csv rank 18,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/TX/ut-southwestern-clements-university-hospital,QUEUED
14,19,88,LA,New Orleans,University Medical Center New Orleans,umcno.org,NEW_NO_PRIOR_PACKET,P1_PUBLIC_SAFETY_NET; LSU + Tulane; LA first packet,p101_4_selected_25_queue.csv rank 19,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/LA/university-medical-center-new-orleans,QUEUED
15,20,89,LA,New Orleans,Ochsner Medical Center,ochsner.org,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; Ochsner system,p101_4_selected_25_queue.csv rank 20,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/LA/ochsner-medical-center,QUEUED
16,21,90,GA,Augusta,Augusta University Medical Center / Medical College of Georgia,augustahealth.org,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; GA depth; MCG SOM affiliate,p101_4_selected_25_queue.csv rank 21,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/GA/augusta-university-medical-center,QUEUED
17,22,91,FL,Weston,Cleveland Clinic Florida,clevelandclinic.org,NEW_NO_PRIOR_PACKET,P1_SIBLING_EXPANSION; CCF FL sibling,p101_4_selected_25_queue.csv rank 22,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/FL/cleveland-clinic-florida,QUEUED
18,23,92,OH,Akron,Cleveland Clinic Akron General,clevelandclinic.org,NEW_NO_PRIOR_PACKET,P1_SIBLING_EXPANSION; OH first P101 packet,p101_4_selected_25_queue.csv rank 23,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/OH/cleveland-clinic-akron-general,QUEUED
19,24,93,NC,Charlotte,Atrium Health Carolinas Medical Center,atriumhealth.org,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; NC first P101 packet,p101_4_selected_25_queue.csv rank 24,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/NC/atrium-health-carolinas-medical-center,QUEUED
20,25,94,NC,Winston-Salem,Wake Forest Baptist Medical Center,wakehealth.edu,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; Wake Forest SOM AMC,p101_4_selected_25_queue.csv rank 25,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/NC/wake-forest-baptist-medical-center,QUEUED
